problem,run,trial,accuracy,n_seen,program
trs.waves.1.c006,0,7,1,729,".(C var13_) = .(.(CONS .(DIGIT 7)) var13_);"
trs.waves.1.c006,0,8,1,481,".(C var13_) = .(.(CONS .(DIGIT 7)) var13_);"
trs.waves.1.c006,0,9,1,217,".(C var13_) = .(.(CONS .(DIGIT 7)) var13_);"
trs.waves.1.c006,0,10,1,201,".(C var13_) = .(.(CONS .(DIGIT 7)) var13_);"
trs.waves.1.c006,0,11,1,169,".(C var13_) = .(.(CONS .(DIGIT 7)) var13_);"
trs.waves.1.c005,1,1,0,17,"C = TAIL;"
trs.waves.1.c005,1,2,1,40497,".(C var13_) = var13_;"
trs.waves.1.c005,1,3,1,17185,".(C var13_) = var13_;"
trs.waves.1.c005,1,4,1,8633,".(C var13_) = var13_;"
trs.waves.1.c005,1,5,1,4769,".(C var13_) = var13_;"
trs.waves.1.c005,1,6,1,1953,".(C var13_) = var13_;"
trs.waves.1.c005,1,7,1,745,".(C var13_) = var13_;"
trs.waves.1.c005,1,8,1,449,".(C var13_) = var13_;"
trs.waves.1.c005,1,9,1,185,".(C var13_) = var13_;"
trs.waves.1.c005,1,10,1,209,".(C var13_) = var13_;"
trs.waves.1.c005,1,11,1,161,".(C var13_) = var13_;"
trs.waves.1.c002,3,1,0,17,"C = TAIL;"
trs.waves.1.c002,3,2,1,18225,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,3,3,1,9609,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,3,4,1,4841,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,3,5,1,2001,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,3,6,1,1145,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,3,7,1,537,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
