Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
65	:	1582750159.777	    61.799	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c012 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c012_4.log
88	:	1582750179.326	    47.638	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c017 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c017_2.log
63	:	1582750155.412	    72.202	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c012 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c012_2.log
90	:	1582750182.495	    47.776	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c017 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c017_4.log
105	:	1582750206.261	    24.654	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c020 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c020_4.log
98	:	1582750190.461	    41.154	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c019 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c019_2.log
32	:	1582750143.949	    87.710	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c006 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c006_1.log
86	:	1582750177.215	    55.361	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c017 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c017_0.log
91	:	1582750185.770	    46.910	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c018 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c018_0.log
102	:	1582750203.744	    29.523	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c020 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c020_1.log
64	:	1582750158.058	    77.027	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c012 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c012_3.log
101	:	1582750200.269	    36.552	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c020 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c020_0.log
96	:	1582750189.541	    51.166	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c019 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c019_0.log
89	:	1582750182.417	    58.908	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c017 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c017_3.log
71	:	1582750165.557	    77.490	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c014 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c014_0.log
84	:	1582750175.566	    68.992	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c016 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c016_3.log
